Wettbewerb,Spieltag,Datum,Heim,Auswaerts,ToreHeim,ToreAusw
NL,Liga B - Spieltag 4,2026-10-05 20:45,Nordirland,Georgien,,
NL,Liga B - Spieltag 4,2026-10-05 20:45,Ukraine,Ungarn,,
NL,Liga B - Spieltag 5,2026-11-14 18:00,Georgien,Ungarn,,
NL,Liga B - Spieltag 5,2026-11-14 20:45,Nordirland,Ukraine,,
NL,Liga B - Spieltag 6,2026-11-17 20:45,Ungarn,Nordirland,,
NL,Liga B - Spieltag 6,2026-11-17 20:45,Ukraine,Georgien,,
NL,Liga B - Spieltag 1,2026-09-24 20:45,Österreich,Israel,,
NL,Liga B - Spieltag 1,2026-09-24 20:45,Kosovo,Irland,,
NL,Liga B - Spieltag 2,2026-09-27 18:00,Österreich,Kosovo,,
NL,Liga B - Spieltag 2,2026-09-27 20:45,Israel,Irland,,
NL,Liga B - Spieltag 3,2026-10-01 20:45,Israel,Kosovo,,
NL,Liga B - Spieltag 3,2026-10-01 20:45,Irland,Österreich,,
NL,Liga B - Spieltag 4,2026-10-04 18:00,Kosovo,Österreich,,
NL,Liga B - Spieltag 4,2026-10-04 20:45,Irland,Israel,,
NL,Liga B - Spieltag 5,2026-11-14 15:00,Kosovo,Israel,,
NL,Liga B - Spieltag 5,2026-11-14 20:45,Österreich,Irland,,
NL,Liga B - Spieltag 6,2026-11-17 20:45,Israel,Österreich,,
NL,Liga B - Spieltag 6,2026-11-17 20:45,Irland,Kosovo,,
NL,Liga B - Spieltag 1,2026-09-25 20:45,Polen,Bosnien-Herzegowina,,
NL,Liga B - Spieltag 1,2026-09-25 20:45,Schweden,Rumänien,,
NL,Liga B - Spieltag 2,2026-09-28 20:45,Rumänien,Bosnien-Herzegowina,,
NL,Liga B - Spieltag 2,2026-09-28 20:45,Schweden,Polen,,
NL,Liga B - Spieltag 3,2026-10-02 20:45,Bosnien-Herzegowina,Schweden,,
NL,Liga B - Spieltag 3,2026-10-02 20:45,Polen,Rumänien,,
NL,Liga B - Spieltag 4,2026-10-05 20:45,Bosnien-Herzegowina,Polen,,
NL,Liga B - Spieltag 4,2026-10-05 20:45,Rumänien,Schweden,,
NL,Liga B - Spieltag 5,2026-11-14 20:45,Rumänien,Polen,,
NL,Liga B - Spieltag 5,2026-11-14 20:45,Schweden,Bosnien-Herzegowina,,
NL,Liga B - Spieltag 6,2026-11-17 20:45,Bosnien-Herzegowina,Rumänien,,
NL,Liga B - Spieltag 6,2026-11-17 20:45,Polen,Schweden,,
NL,Liga C - Spieltag 1,2026-09-26 18:00,San Marino,Finnland,,
NL,Liga C - Spieltag 1,2026-09-26 20:45,Albanien,Belarus,,
NL,Liga C - Spieltag 2,2026-09-29 18:00,Finnland,Belarus,,
NL,Liga C - Spieltag 2,2026-09-29 20:45,San Marino,Albanien,,
NL,Liga C - Spieltag 3,2026-10-03 15:00,Finnland,Albanien,,
NL,Liga C - Spieltag 3,2026-10-03 18:00,Belarus,San Marino,,
NL,Liga C - Spieltag 4,2026-10-06 20:45,Albanien,San Marino,,
NL,Liga C - Spieltag 4,2026-10-06 20:45,Belarus,Finnland,,
NL,Liga C - Spieltag 5,2026-11-12 20:45,Albanien,Finnland,,
NL,Liga C - Spieltag 5,2026-11-12 20:45,San Marino,Belarus,,
NL,Liga C - Spieltag 6,2026-11-15 18:00,Belarus,Albanien,,
NL,Liga C - Spieltag 6,2026-11-15 18:00,Finnland,San Marino,,
NL,Liga C - Spieltag 1,2026-09-25 18:00,Armenien,Lettland,,
NL,Liga C - Spieltag 1,2026-09-25 20:45,Montenegro,Zypern,,
NL,Liga C - Spieltag 2,2026-09-28 18:00,Armenien,Montenegro,,
NL,Liga C - Spieltag 2,2026-09-28 18:00,Lettland,Zypern,,
NL,Liga C - Spieltag 3,2026-10-02 18:00,Zypern,Armenien,,
NL,Liga C - Spieltag 3,2026-10-02 18:00,Lettland,Montenegro,,
NL,Liga C - Spieltag 4,2026-10-05 18:00,Zypern,Lettland,,
NL,Liga C - Spieltag 4,2026-10-05 20:45,Montenegro,Armenien,,
NL,Liga C - Spieltag 5,2026-11-12 18:00,Armenien,Zypern,,
NL,Liga C - Spieltag 5,2026-11-12 20:45,Montenegro,Lettland,,
NL,Liga C - Spieltag 6,2026-11-15 15:00,Zypern,Montenegro,,
NL,Liga C - Spieltag 6,2026-11-15 15:00,Lettland,Armenien,,
NL,Liga C - Spieltag 1,2026-09-26 18:00,Färöer,Kasachstan,,
NL,Liga C - Spieltag 1,2026-09-26 20:45,Slowakei,Moldau,,
NL,Liga C - Spieltag 2,2026-09-29 18:00,Moldau,Färöer,,
NL,Liga C - Spieltag 2,2026-09-29 20:45,Slowakei,Kasachstan,,
NL,Liga C - Spieltag 3,2026-10-02 20:45,Färöer,Slowakei,,
NL,Liga C - Spieltag 3,2026-10-02 16:00,Kasachstan,Moldau,,
NL,Liga C - Spieltag 4,2026-10-06 16:00,Kasachstan,Färöer,,
NL,Liga C - Spieltag 4,2026-10-06 20:45,Moldau,Slowakei,,
NL,Liga C - Spieltag 5,2026-11-13 18:00,Moldau,Kasachstan,,
NL,Liga C - Spieltag 5,2026-11-13 20:45,Slowakei,Färöer,,
NL,Liga C - Spieltag 6,2026-11-16 16:00,Färöer,Moldau,,
NL,Liga C - Spieltag 6,2026-11-16 16:00,Kasachstan,Slowakei,,
NL,Liga C - Spieltag 1,2026-09-26 18:00,Bulgarien,Luxemburg,,
NL,Liga C - Spieltag 1,2026-09-26 18:00,Island,Estland,,
NL,Liga C - Spieltag 2,2026-09-29 20:45,Bulgarien,Estland,,
NL,Liga C - Spieltag 2,2026-09-29 20:45,Luxemburg,Island,,
NL,Liga C - Spieltag 3,2026-10-03 18:00,Estland,Luxemburg,,
NL,Liga C - Spieltag 3,2026-10-03 18:00,Island,Bulgarien,,
NL,Liga C - Spieltag 4,2026-10-06 20:45,Estland,Island,,
NL,Liga C - Spieltag 4,2026-10-06 20:45,Luxemburg,Bulgarien,,
NL,Liga C - Spieltag 5,2026-11-13 20:45,Bulgarien,Island,,
NL,Liga C - Spieltag 5,2026-11-13 20:45,Luxemburg,Estland,,
NL,Liga C - Spieltag 6,2026-11-16 18:00,Estland,Bulgarien,,
NL,Liga C - Spieltag 6,2026-11-16 18:00,Island,Luxemburg,,
NL,Liga D - Spieltag 1,2026-09-24 18:00,Andorra,Malta,,
NL,Liga D - Spieltag 2,2026-09-27 18:00,Gibraltar,Andorra,,
NL,Liga D - Spieltag 3,2026-10-01 20:45,Malta,Gibraltar,,
NL,Liga D - Spieltag 4,2026-10-04 18:00,Malta,Andorra,,
NL,Liga D - Spieltag 5,2026-11-13 20:45,Andorra,Gibraltar,,
NL,Liga D - Spieltag 6,2026-11-16 20:45,Gibraltar,Malta,,
NL,Liga D - Spieltag 1,2026-09-24 20:45,Liechtenstein,Litauen,,
NL,Liga D - Spieltag 2,2026-09-27 15:00,Litauen,Aserbaidschan,,
NL,Liga D - Spieltag 3,2026-10-01 18:00,Aserbaidschan,Liechtenstein,,
NL,Liga D - Spieltag 4,2026-10-04 15:00,Aserbaidschan,Litauen,,
NL,Liga D - Spieltag 5,2026-11-13 20:45,Liechtenstein,Aserbaidschan,,
NL,Liga D - Spieltag 6,2026-11-16 18:00,Litauen,Liechtenstein,,
